"","player_api_id","player_name","overall_rating","gk_rating","num_of_appearances","num_of_leagues"
"5810",23755,"Joe Cardle",63,50,26,1
"5811",30630,"Joe Cole",87,140,68,1
"5812",30630,"Joe Cole",87,140,68,2
"5813",31432,"Joe Hart",85,414,275,1
"5814",23987,"Joe Keenan",65,132,6,1
"5815",22929,"Joe Ledley",NA,NA,140,2
"5816",22929,"Joe Ledley",NA,NA,140,1
"5817",23147,"Joe Lewis",68,337,1,1
"5818",287223,"Joe Riley",66,51,1,1
"5819",189927,"Joe Shaughnessy",62,61,70,1
"5820",46232,"Joeel Sami",70,120,119,1
"5821",46232,"Joeel Sami",70,120,119,2
"5822",242094,"Joel Campbell",76,66,45,1
"5823",242094,"Joel Campbell",76,66,45,2
"5824",242094,"Joel Campbell",76,66,45,3
"5825",154246,"Joel Chukwuma Obi",77,133,19,1
"5826",588337,"Joel Drommel",66,327,11,1
"5827",114337,"Joel Ekstrand",71,147,3,1
"5828",42331,"Joel Epalle",NA,NA,36,1
"5829",553598,"Joel Gerezgiher",60,56,1,1
"5830",132814,"Joel Mall",65,323,71,1
"5831",171698,"Joel Matip",81,139,161,1
"5832",89653,"Joel Perovuo",59,138,3,1
"5833",186054,"Joel Robles",74,374,43,2
"5834",148905,"Joel Thomas",56,102,10,1
"5835",158201,"Joel Tillema",59,127,1,1
"5836",358156,"Joel Untersee",60,52,24,1
"5837",304455,"Joel Veltman",78,43,85,1
"5838",146830,"Joel Ward",76,99,101,1
"5839",195581,"Joel",61,43,1,1
"5840",45922,"Joep van den Ouweland",60,133,6,NA
"5841",293718,"Joeri de Kamps",66,52,29,1
"5842",212166,"Joeri Schroyen",60,53,1,1
"5843",148336,"Joerie Dequevy",64,138,34,1
"5844",24205,"Joey Barton",81,154,118,2
"5845",24205,"Joey Barton",81,154,118,1
"5846",306655,"Joey Belterman",60,53,3,1
"5847",42573,"Joey Didulica",74,358,19,1
"5848",611526,"Joey Dujardin",57,56,1,1
"5849",150240,"Joey Godee",63,60,13,1
"5850",150240,"Joey Godee",63,60,13,2
"5851",23931,"Joey O'Brien",71,140,53,1
"5852",248151,"Joey Pelupessy",68,59,45,1
"5853",466834,"Joey Sleegers",67,68,3,1
"5854",113292,"Joey Suk",63,45,11,1
"5855",113292,"Joey Suk",63,45,11,2
"5856",110214,"Joey van den Berg",72,51,97,1
"5857",52490,"Joffre David Guerron",75,139,5,1
"5858",37756,"Johan Audel",78,123,71,1
"5859",49269,"Johan Bertilsson",64,52,1,1
"5860",46704,"Johan Carrasso",71,361,32,1
"5861",37567,"Johan Cavalli",71,141,63,1
"5862",30986,"Johan Djourou",81,135,141,1
