"","reg_num","subj","crse","sect","title","units","instructor","days","time","place"
"280","20482","LING","348","S","Languages the Americas:Mayan","1.0","Haviland","T","06:10PM09:00","ELIOT419"
"281","10588","LING","392","F01","Structuralism and Semiotics","1.0","Stasch","T-Th","01:10PM02:30","VOLLUM134"
"282","10598","LING","392","F02","Structuralism and Semiotics","1.0","Stasch","T-Th","02:40PM04:00","VOLLUM134"
"283","10747","LING","393","F","Psycholinguistics","1.0","Canseco-Gonzale","M-W-F","10:00AM10:50","PSYCH108"
"284","10747","LING","393","F","Psycholinguistics","1.0","Canseco-Gonzale","W","04:40PM06:00","PSYCH108"
"285","20652","LING","396","S","Psych of Language Acquisition","1.0","Canseco-Gonzale","T-Th","02:40PM04:00","PSYCH108"
"286","10538","LIT","266","F","Russian Short Fiction","1.0","Lencek","T-Th","01:10PM02:30","VOLLUM126"
"287","10757","LIT","320","F","20-Cent Chin Fiction, 1919-49","1.0","Wu","T-Th","02:40PM04:00","ELIOT121"
"288","20498","LIT","321","S","Modernism: Berlin","1.0","Gokberk","M-W","03:10PM04:30","VOLLUM116"
"289","10756","LIT","326","F","Chinese Narrative Tradition","1.0","Rhew","M-W","03:10PM04:30","ELIOT121"
"290","20682","ART","316","S","Medieval Manuscript Illumin","1.0","Diebold","T-Th","02:40PM04:00","LIB41"
"291","20657","LIT","334","S","Yijing: Text and Tradition","1.0","Rhew","M-W","03:10PM04:30","ELIOT121"
"292","10502","LIT","341","F","Modern German Theatre","1.0","Rudolf","M-W","03:10PM04:30","ELIOT419"
"293","20665","LIT","343","S","20-Century Chinese Poetry","1.0","Wu","T-Th","02:40PM04:00","ELIOT121"
"294","20487","LIT","363","S","Greek Tragedy","1.0","Englert","M-W-F","12:00PM12:50","VOLLUM126"
"295","20531","LIT","373","S","Russian Lit:Chekhov toPresent","1.0","Bershtein","T-Th","02:40PM04:00","VOLLUM126"
"296","10540","LIT","379","F","The Myth of St. Petersburg","1.0","Bershtein","T-Th","02:40PM04:00","PSYCH103"
"297","10500","LIT","391","F","German Thought Postmod Era","1.0","Irmscher","T-Th","02:40PM04:00","ELIOT414"
"298","20501","LIT","392","S","German Theory II: Body Media","1.0","Mieszkowski","W","06:10PM09:00","ELIOT414"
"299","20536","LIT","404","S","Russian Lit:Gogol  and Dostoevsky","1.0","Lencek","T-Th","09:00AM10:20","VOLLUM118"
"300","20533","LIT","408","S","Russ Decadent/SymbolistCultur","1.0","Bershtein","M-W","03:10PM04:30","VOLLUM302"
"301","10455","ART","333","F","Divine Comedy  and Visualizations","1.0","David","T-Th","01:10PM02:30","LIB41"
"302","10542","LIT","413","F","20th C Russian CriticalTheory","1.0","Lencek","T-Th","09:00AM10:20","VOLLUM126"
"303","10430","MATH","111","F01","Calculus I","1.0","Mayer","M-T-W-F","08:00AM08:50","LIB204"
"304","10431","MATH","111","F02","Calculus I","1.0","Shurman","M-T-W-F","11:00AM11:50","LIB204"
"305","10432","MATH","111","F03","Calculus I","1.0","Mayer","M-T-W-F","12:00PM12:50","ELIOT200"
"306","10433","MATH","111","F04","Calculus I","1.0","Potluri","M-T-W-F","12:00PM12:50","PSYCH102"
"307","10434","MATH","111","F05","Calculus I","1.0","Shurman","M-T-W-F","01:10PM02:00","ELIOT207"
"308","10435","MATH","111","F06","Calculus I","1.0","Potluri","M-T-W-F","02:10PM03:00","PSYCH102"
"309","20442","MATH","111","S01","Calculus I","1.0","Potluri","M-T-W-F","11:00AM11:50","PSYCH102"
"310","20443","MATH","111","S02","Calculus I","1.0","Potluri","M-T-W-F","12:00PM12:50","PSYCH102"
"311","20444","MATH","112","S01","Calculus II","1.0","Mayer","M-T-W-F","08:00AM08:50","LIB204"
"312","20680","ART","343","S","Art and Politics in France","1.0","Hendrickson","T-Th","09:00AM10:20","LIB41"
"313","20445","MATH","112","S02","Calculus II","1.0","Perkinson","M-T-W-F","11:00AM11:50","LIB204"
"314","20446","MATH","112","S03","Calculus II","1.0","Jones","M-T-W-F","12:00PM12:50","ELIOT200"
"315","20447","MATH","112","S04","Calculus II","1.0","Wieting","M-T-W-F","12:00PM12:50","LIB204"
"316","20448","MATH","112","S05","Calculus II","1.0","Perkinson","M-T-W-F","01:10PM02:00","ELIOT207"
"317","20449","MATH","112","S06","Calculus II","1.0","Bernhard","M-T-W-F","02:10PM03:00","ELIOT200"
"318","10436","MATH","121","F01","Introduction to Computing","1.0","Fix","M-W-F","11:00AM11:50","PHYSIC123"
"319","10436","MATH","121","F01","Introduction to Computing","1.0","Fix","Th","11:00AM11:50","LIB18"
"320","10437","MATH","121","F02","Introduction to Computing","1.0","Fix","M-W-F","01:10PM02:00","PHYSIC123"
"321","10437","MATH","121","F02","Introduction to Computing","1.0","Fix","Th","01:10PM02:00","LIB18"
"322","20450","MATH","132","S","Introduction to Combinatorics","1.0","Shurman","M-W-F","10:00AM10:50","ELIOT207"
"323","20681","ART","344","S","Pol Hist of Art Between Wars","1.0","van Dyke","M-W-F","01:10PM02:00","LIB41"
