"","lon","lat","Freq"
"1","-0.1202969","51.5123483",2
"2","-0.1248675","51.5209607",1
"3","-0.1277583","51.5073509",17
"4","-0.137163","50.82253",1
"5","-0.1601246","52.9451889",1
"6","-0.2376744","51.8097823",1
"7","-0.4598461","39.4563374",1
"8","-0.57918","44.837789",3
"9","-0.8897421","41.6488696",1
"10","-0.9847132","50.8518324",1
"11","-0.9936306","53.100319",1
"12","-1.051409","43.724934",1
"13","-1.1057192","50.7946785",1
"14","-1.1397592","52.6368778",1
"15","-1.1743197","52.3555177",7
"16","-1.304734","50.6938479",1
"17","-1.310142","51.059771",1
"18","-1.3153733","50.8899294",1
"19","-1.479726","53.55263",1
"20","-1.519693","52.406822",1
"21","-1.5523111","53.8043793",1
"22","-1.8585446","38.9944091",1
"23","-1.890401","52.486243",1
"24","-100.1875974","25.7815621",2
"25","-100.3161126","25.6866142",5
"26","-100.8112885","20.5279612",1
"27","-100.9836611","25.43208",1
"28","-101.1949825","19.7059504",2
"29","-101.3544964","20.6786652",1
"30","-101.6157773","41.5680276",1
"31","-101.6859605","21.1250077",1
"32","-101.7068294","19.5665192",1
"33","-101.8551665","33.5778631",1
"34","-102.0461233","19.6464537",1
"35","-102.1943485","17.9567646",1
"36","-102.2915677","21.8852562",1
"37","-102.3676431","31.8456816",1
"38","-102.4107493","34.2331373",10
"39","-102.552784","23.634501",30
"40","-103.3496092","20.6596988",2
"41","-104.5229281","33.3945681",3
"42","-104.7322697","40.5826193",1
"43","-104.8495969","39.7814539",1
"44","-104.990251","39.7392358",2
"45","-104.9943814","39.7599117",1
"46","-105.0749801","40.3977612",1
"47","-105.2210997","39.755543",1
"48","-105.2551187","54.5259614",2
"49","-105.2705456","40.0149856",1
"50","-105.537257","53.321458",1
"51","-105.7820674","39.5500507",3
"52","-105.7858825","34.181077",1
"53","-105.8700901","34.5199402",2
"54","-106.346771","56.130366",8
"55","-106.4245478","31.6903638",1
"56","-106.4850217","31.7618778",2
"57","-106.6055534","35.0853336",3
"58","-107.2902839","43.0759678",1
"59","-107.4795173","25.1721091",1
"60","-107.8144772","37.6305177",2
"61","-108.153234","32.778651",1
"62","-109.0451868","36.9989773",1
"63","-11.779889","8.460555",1
"64","-110.6819335","45.3799612",1
"65","-110.9559192","29.0729673",1
"66","-111.0937311","34.0489281",4
"67","-111.6585337","40.2338438",1
"68","-111.789027","33.3528264",1
"69","-111.8910474","40.7607793",2
"70","-111.9260519","33.4941704",1
"71","-111.9400054","33.4255104",1
"72","-111.961946","33.293242",1
"73","-112.0731858","33.4508771",1
"74","-112.0740373","33.4483771",2
"75","-112.1221652","33.4926777",1
"76","-112.2178565","33.4951996",1
"77","-113.8112386","52.2681118",1
"78","-114.0653692","51.0454583",1
"79","-114.0708459","51.0486151",1
"80","-114.6276916","32.6926512",1
"81","-114.9817213","36.0395247",1
"82","-115.0509497","36.1167447",1
"83","-115.0837073","36.1053449",2
"84","-115.1175013","36.1988592",1
"85","-115.1398296","36.1699412",3
"86","-115.1760676","35.952828",1
"87","-115.4522623","32.6245389",1
"88","-115.4889518","32.6130149",1
"89","-116.2146068","43.6187102",4
"90","-116.2155619","33.7205771",1
"91","-116.2895173","33.6562975",1
"92","-116.3100095","33.6633573",1
"93","-116.419389","34.9592083",2
"94","-116.8764103","33.9255713",1
"95","-116.9744603","32.8256588",1
"96","-117.0841955","32.6400541",1
"97","-117.0844872","32.6425901",1
"98","-117.1610838","32.715738",6
"99","-117.2648503","33.0923041",1
"100","-117.3961564","33.9533487",1
"101","-117.435048","34.0922335",1
"102","-117.5848025","33.952463",1
"103","-117.7912139","33.8896221",1
"104","-117.8108201","33.6400598",1
"105","-117.8311428","33.7174708",2
"106","-117.845466","33.759516",1
"107","-117.8673659","33.8529366",1
"108","-117.8903397","34.0900091",1
"109","-117.9145036","33.8352932",1
"110","-117.9242966","33.8703596",1
"111","-117.9939921","33.7513419",1
"112","-118.0019482","34.1442616",1
"113","-118.0025715","33.6764158",1
"114","-118.0840212","33.728714",1
"115","-118.1339563","33.8536269",1
"116","-118.1561533","33.7792176",1
"117","-118.1669736","34.0224417",1
"118","-118.1937395","33.7700504",2
"119","-118.1939561","34.0369601",1
"120","-118.2353273","34.0445575",1
"121","-118.2436849","34.0522342",35
"122","-118.2930663","34.0910444",1
"123","-118.3089661","34.1808392",2
"124","-118.3286614","34.0928092",1
"125","-118.3484173","34.1755619",1
